Factory,Value Stream,Stage/Product Line/SL,Component,Path,Create Date
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B120A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B120A741/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B160A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B160A741/20190712.000,2019-07-12,3.151438
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_B160A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_B160A741/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_C140A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_C140A741/20190712.000,2019-07-12,3.151438
BaP,HDEV6,/01_Instructions/13_Long/420/,Staeubli_C140A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/13_Long/420/ARCHIVE/Staeubli_C140A741/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/15_Final/510/,Staeubli_A110A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/510/ARCHIVE/Staeubli_A110A740/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/15_Final/515/,Burster,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/515/ARCHIVE/Burster/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/515/,Camera,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/515/ARCHIVE/Camera/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/515/,Ceta,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/515/ARCHIVE/Ceta/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/515/,Elabo,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/515/ARCHIVE/Elabo/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/515/,Stäubli_C140A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/515/ARCHIVE/Stäubli_C140A741/20200116.000,2020-01-16,2.636694
BaP,HDEV6,/01_Instructions/15_Final/540/,Staeubli_A120A740,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/540/ARCHIVE/Staeubli_A120A740/20190716.000,2019-07-16,3.140486
BaP,HDEV6,/01_Instructions/15_Final/560/,IFM,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/560/ARCHIVE/IFM/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/560/,PUTE,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/560/ARCHIVE/PUTE/20200407.000,2020-04-07,2.412178
BaP,HDEV6,/01_Instructions/15_Final/560/,Stäubli_C140A741,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/560/ARCHIVE/Stäubli_C140A741/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/570/,Camera,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/570/ARCHIVE/Camera/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/570/,Roboter,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/570/ARCHIVE/Roboter/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/575/,Camera,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/575/ARCHIVE/Camera/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/575/,Kraft-Wegmessung,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/575/ARCHIVE/Kraft-Wegmessung/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/575/,Kraft-Wegmessung,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/575/ARCHIVE/Kraft-Wegmessung/20200407.000,2020-04-07,2.412178
BaP,HDEV6,/01_Instructions/15_Final/575/,Roboter,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/575/ARCHIVE/Roboter/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/580/,Camera,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/580/ARCHIVE/Camera/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/580/,FTP Setup,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/580/ARCHIVE/FTP Setup/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/580/,Keyence Lichtband,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/580/ARCHIVE/Keyence Lichtband/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/580/,Laser,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/580/ARCHIVE/Laser/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/580/,Roboter,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/580/ARCHIVE/Roboter/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/585/,Keyence-Sensoren,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/585/ARCHIVE/Keyence-Sensoren/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/585/,Roboter,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/585/ARCHIVE/Roboter/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/590/,Baluff,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/590/ARCHIVE/Baluff/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/590/,Cognex,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/590/ARCHIVE/Cognex/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/590/,Datalogic,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/590/ARCHIVE/Datalogic/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/590/,Interroll,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/590/ARCHIVE/Interroll/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/590/,Roboter,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/590/ARCHIVE/Roboter/20200212.000,2020-02-12,2.562768
BaP,HDEV6,/01_Instructions/15_Final/,Allgemein,D:/vdServerArchive/Ba/HDEV6/01_Instructions/15_Final/ARCHIVE/Allgemein/20200213.000,2020-02-13,2.56003
BaP,HDEV6,/01_Instructions/,Balluff BIS V-6110,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/Balluff BIS V-6110/20190522.000,2019-05-22,3.291076
BaP,HDEV6,/01_Instructions/,Burster Digiforce 9307,D:/vdServerArchive/Ba/HDEV6/01_Instructions/ARCHIVE/Burster Digiforce 9307/20190515.000,2019-05-15,3.310242
