"Component";"ComponentId";"ComponentTypeId";"ComponentTypeName";"JobId";"JobName";"UploadClass";"WhoToNotify";"WhoToNotifyNames";"WhoToNotifyEMails";"WhoToNotifyAdditional";"Execution";"IpOrComputerName";"UploadAgent";"CompareAgent";"LastCheck (local)";"LastCheck (UTC)";"NextStart (local)";"NextStart (UTC)";"JobStart (local)";"JobStart (UTC)";"JobFinish (local)";"JobFinish (UTC)";"ResultVersionVsBackup";"WarningVersionVsBackup";"ErrorVersionVsBackup";"ResultBackupVsPreBackups";"WarningBackupVsPreBackup";"ErrorBackupVsPreBackup";"DirBackup";"TimestampBackup (local)";"TimestampBackup (UTC)";"DirPreBackup";"TimestampPreBackup (local)";"TimestampPreBackup (UTC)";"OutOfDate";"VersionVsBackupVersionNumber";"DeactivatedComment"
"\BMB\SOFC\43_Coupon\140\Handling\EPLAN_O1044";"A440CBD647DA4A46B5823BE1190D6DC7";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\540\PLC_000A620";"A6AC8D6DD2254B27A63A2B2371B44C03";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\210\PLC_000A620";"AAB81FB9826349C58418629FB931EFFD";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\CRI3\12_SMM\12_HVL\011\205252827_W4451_BaP-TEF_CRI3-NCS-SMML-St11)";"AB016D46F15B4B60AF8BAE7D82A68864";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\AOI-Cell_RBCD-1\Validierung_MAE0001W2828";"AB5A597B47784F44B76A28F97A84C900";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Klartext_)";"ADDB7EFB143B4330B5EADD35C48855B8";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\CRI3\12_SMM\12_HVL\011\Safety_Validation_W4451";"ADF59AC7CC284F59AF947D4DFE233247";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\BPP-Montage\AOI-Cell_BaP-1\E-Plan_MAE0001W2827";"AF9DA78707D94CD7BFD0510F1293D118";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\06_Documentation_electrical\Schunk teachable Initiator BMF00JH";"AFA4C32E3C214ED3A20C8C152C9FD452";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\BPP-Montage\AOI-Cell_BaP-1\Validierung_MAE0001W2827";"B0DEA2CCF6CD47958759F9D282C10721";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_105A713";"B58EFCB8557849E4912FDED47C6BBB30";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.3\Eplan_MAE0001W2806-03";"B835C998C4D5435D9045E025BF03071C";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\250\PLC_000A620";"B89FC0E592DE4A14B5843A67919176FC";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\10\Safety_Validation_MAE0001W2795-10_MA2100006_21095";"BB07766507E241BF979FE15EF57E8C93";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\AOI-Cell_RBCD-1\Sistema_MAE0001W2828";"BBFCC4A393964FE1AF782FBE8C265480";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\41_Conn\Sichtpruefen_IR-Cat_und_Laserdrilling\E-Plan_MAE0001W2789";"BDE3D8DEA8A640478C804B4A413BF0C4";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\70\NEXEED_000A620\TortoiseHg";"C0DB052264DE44BEB178A2A676B0144C";"0FA311EBEA30478A89F1F7A160FC2A17";"TortoiseHg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\30\(_302195856_MAE0001W2795-30_Spilker_FCEV-MEA-LVL-SL01-St30_)";"C68AEF2843864CF98725D157A9474145";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\545\Staeubli_A120A740";"C95821D0F62D43788E3E75221C09EDE4";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_105A712";"CA6347CEE33546778CE48B30247F5B69";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\41\EPLAN_MAE0001W2795-41";"CB0F7C04EEAA4FC090B9423615AF9DA8";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\406_Grauraum\070_Laserabgleich\LSU5.2 Selektion MAE0001W2824\Sistema";"CB87D39E0BF64A67B7945C1A5A286CD8";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\CRI3\12_SMM\12_HVL\010\Sistema_W4370";"CD423CC6F0814B74AF5D64C182F68180";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\160\BA302176704_O1007_TEF_Pruefstand1";"CDDCA49444CB4C62A3DB305E23DD2034";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\240\PLC_000A620";"D019BCE76F8148DBBBEE002D6918D3E8";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Staeubli_CS9_104A740";"D1DA4F50D7CC4216903EC5444C433883";"7337C18E1DB446D0AE49C1ABB753D669";"Stäubli CS9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\60\NEXEED_000A620\TortoiseHg";"D32DC6C7E80D49DC998ADA8761664849";"0FA311EBEA30478A89F1F7A160FC2A17";"TortoiseHg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\07_Inspection_documents_certificates\Laser_tightnes";"D643DADAA72E4BD5A6A8F72212A6303A";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\SettingData\LineData";"D775E6963CE14076A5C71FECD7ED35E5";"56C7E3817715414EB1772B1FAE3A1A54";"SettingData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\02_Maintenance\PDF";"D7FA3A6068134F3A9A0F2FA913F1961C";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\PILZ PNOZmulti_000K900";"D902B870767E41F587A57F8197355D39";"7EF9379216CC4319834546BB88E25064";"PILZ PNOZmulti";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Nozzle\11_Soft\70\200\E-Plan_MAE0001W2786";"D94D604870F84B058B15CD642A491A42";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.6\Eplan_MAE0001W2806-06";"DA96938AACDB414EAC532EBA85C405BA";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\41_Conn\400\E-Plan_MAE0001W2792";"DE257C77861844A48472DF91D606438B";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\50\NEXEED_000A620\TortoiseHg";"E1A0D32FF4DA40A99DE89C33ACCF3832";"0FA311EBEA30478A89F1F7A160FC2A17";"TortoiseHg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\250\Staeubli_B120A740";"E44EDE7F0CDC4805894BDFCD15303E5E";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\210\Staeubli_A160A740";"E6558FF92E9941C1A2D43C96D9A55B01";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_103A711";"E8725CDB4A5245A3BB4F82ADACA3127B";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\01_Operating_instruction\PDF";"EE4B7B3F16084E8B994C8340D92826B9";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\50\EPLAN_MAE0001W2795-50";"EF90DDD47A4C42518DD73DE32D2023DC";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\230\PLC_000A620";"EFCEE0874B014AAE98BFFFECAB95C1D7";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Teilebereitstellungsplatz2\06_Documentation_electrical";"F09B457CFAD242D3B88BD560E0032CCD";"92C0A27244874765A4FCC53196DC1922";"06_Documentation_electrical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Keyence_Scanner_000A830";"F1CD2FF2FA8B4F40B5696C182E3C1B69";"927E876868C6494F82DCD619F5909AF4";"Keyence Scanner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\PLC_000A620_Standard";"F325B8E54B9546DFBBB0407E08B257C3";"5B36385D53A14D22AAB26B8992885F23";"OpConPlus-Standard_Std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\30\Sistema";"F3504D117A58479C92BB61179B23FB2C";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\510\EPLAN_O1005";"F50BEA203A994836BE95BA89DE3E2F81";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\TEF3\Training\Roboter\Staubli_CS9\E-Plan_ProjectNr";"F5B71FF535F145DD89A4AD68F97A404A";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\PLC_000A620";"F736CECBCD084E3C9F5046F12577327A";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\30\Eplan_MAE0001W2807";"FBE4A7DDA5254B5584796B0154A52890";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\05_Catalog_parts_mechanical-electrical\PDF";"FCA84561CD8F4318AC9F4F00E3E93682";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\40\Eplan_MAE0001W2808";"FE20E6D5427441508A61D119A4E261AE";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\40\(_302196216_MAE0001W2795-40_Spilker_FCEV-MEA-LVL-SL01-St40_)";"FF64EC7A094D472EA6BBA503BCFF7565";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
