"Component";"ComponentId";"ComponentTypeId";"ComponentTypeName";"JobId";"JobName";"UploadClass";"WhoToNotify";"WhoToNotifyNames";"WhoToNotifyEMails";"WhoToNotifyAdditional";"Execution";"IpOrComputerName";"UploadAgent";"CompareAgent";"LastCheck (local)";"LastCheck (UTC)";"NextStart (local)";"NextStart (UTC)";"JobStart (local)";"JobStart (UTC)";"JobFinish (local)";"JobFinish (UTC)";"ResultVersionVsBackup";"WarningVersionVsBackup";"ErrorVersionVsBackup";"ResultBackupVsPreBackups";"WarningBackupVsPreBackup";"ErrorBackupVsPreBackup";"DirBackup";"TimestampBackup (local)";"TimestampBackup (UTC)";"DirPreBackup";"TimestampPreBackup (local)";"TimestampPreBackup (UTC)";"OutOfDate";"VersionVsBackupVersionNumber";"DeactivatedComment"
"\BMB\TEF3\Training\Roboter\Staubli_CS9\(_000302195037_BaP-TEF_TEF3-CS9-Schulungszelle_)";"681DC316A97E48969EAC340C3026C2D0";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.4\Eplan_MAE0001W2806-04";"682C5CB10991436A84519D4FA470EACA";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\MEA_HVL\St50\NEXEED_000A620\Std";"684969E2644F4F5A9BF0C36B440D83BC";"ADCB4125D594406CB3F73754B6F9DDD2";"ControlPlus_CPS5.x_Std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\TEF3\Training\Roboter\Staubli_CS9\Sistema";"68527F3093CB42E2A4E19B26B2D790BE";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\50\(_302196217_MAE0001W2795-50_BaP-TEF_FCEV-MEA-LVL-SL01-St50_)";"6953F1887A594253878829320C6153B5";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\20\NEXEED_000A620\TortoiseHg";"69585BB4903A49FAB4207CBA98EBECE5";"0FA311EBEA30478A89F1F7A160FC2A17";"TortoiseHg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\FCEV_Teilebereitstellungsplatz1\06_Documentation_electrical";"6DDD496AC857452E8FA60486F1BE5F0F";"92C0A27244874765A4FCC53196DC1922";"06_Documentation_electrical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.6\Validierung";"74C0E45BABDA445D96C4B93351845C52";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\SettingData\StationData";"781B0968D35E4841B1BDDC4C72BD13C9";"56C7E3817715414EB1772B1FAE3A1A54";"SettingData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\RobotData\Wp104A740";"784D7D6A8963489EAE493CA72B3C9234";"D4C4519D18464CEC967780EC04E48158";"RobotData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
