"Component id";"Component type";"Session id";"Timestamp (local)";"Timestamp (UTC)";"Directory";"Name";"Command";"User name";"User id";"Computer name";"Version";"Version timestamp (local)";"Version timestamp (UTC)";"Message";"Comment";"Server name"
"36843688E6AB4EF1B624C576A7FE0109";"OpConplus_OES4.x";"57426BCBFA6C4B5A82BCB009E217FF7F";"2021-04-19T09:43:24+0200";"2021-04-19T07:43:24Z";"\QMM\HDEV6\BuP\Qdyn";"PLC_000A620";"Check-Out";"";"ED93BA6F1A6D49CDB69726D1A65E82F5";"EMEA.BU1Z5605";"3 [V1.1.15.0]";"2021-01-08T23:17:20+0100";"2021-01-08T22:17:20Z";"";"";"EMEA.BU4PTEFAPP04"
"DB4DDBA21239427C834E04493C08CBE7";"SettingData";"CD68F0775AC74BFDBAC029EB5F4ABBC4";"2021-04-19T01:28:46+0200";"2021-04-18T23:28:46Z";"\HDEV6\15_Final\SL06\515\SettingData";"StationData";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"EMEA.BU4PTEFAPP04";"107";"2021-04-19T01:28:39+0200";"2021-04-18T23:28:39Z";"";"";"EMEA.BU4PTEFAPP04"
"DB4DDBA21239427C834E04493C08CBE7";"SettingData";"CD68F0775AC74BFDBAC029EB5F4ABBC4";"2021-04-19T01:28:46+0200";"2021-04-18T23:28:46Z";"\HDEV6\15_Final\SL06\515\SettingData";"StationData";"Check-In";"";"";"EMEA.BU4PTEFAPP04";"107";"2021-04-19T01:28:39+0200";"2021-04-18T23:28:39Z";"";"";"EMEA.BU4PTEFAPP04"
"DB4DDBA21239427C834E04493C08CBE7";"SettingData";"039C0297DF524D00A7ABE140B85084BF";"2021-04-19T01:28:33+0200";"2021-04-18T23:28:33Z";"\HDEV6\15_Final\SL06\515\SettingData";"StationData";"Check-Out";"";"";"EMEA.BU4PTEFAPP04";"106";"2021-04-16T01:28:35+0200";"2021-04-15T23:28:35Z";"";"";"EMEA.BU4PTEFAPP04"
"741200CAD4964440921FB39525CFDED0";"SettingData";"91EB0A6048AB4E64900EC3FA69AC1FA1";"2021-04-19T00:59:09+0200";"2021-04-18T22:59:09Z";"\HDEV6\15_Final\SL06\530\SettingData";"StationData";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"EMEA.BU4PTEFAPP04";"143";"2021-04-19T00:59:00+0200";"2021-04-18T22:59:00Z";"";"";"EMEA.BU4PTEFAPP04"
"741200CAD4964440921FB39525CFDED0";"SettingData";"91EB0A6048AB4E64900EC3FA69AC1FA1";"2021-04-19T00:59:09+0200";"2021-04-18T22:59:09Z";"\HDEV6\15_Final\SL06\530\SettingData";"StationData";"Check-In";"";"";"EMEA.BU4PTEFAPP04";"143";"2021-04-19T00:59:00+0200";"2021-04-18T22:59:00Z";"";"";"EMEA.BU4PTEFAPP04"
"741200CAD4964440921FB39525CFDED0";"SettingData";"5C1D379A18E84D498D7F3D16045ED1CD";"2021-04-19T00:58:54+0200";"2021-04-18T22:58:54Z";"\HDEV6\15_Final\SL06\530\SettingData";"StationData";"Check-Out";"";"";"EMEA.BU4PTEFAPP04";"142";"2021-04-13T00:58:54+0200";"2021-04-12T22:58:54Z";"";"";"EMEA.BU4PTEFAPP04"
"FAD35E0CA24941D390B85FA311F6078E";"Stäubli CS8C (SRS TransferManager Skript)";"514B2FA42ED34D6D8A1E314941AC872A";"2021-04-18T12:06:44+0200";"2021-04-18T10:06:44Z";"\DLL\HDEV5\DLL11";"Robot_Stat030_130A740";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"US.CHVMHDEV6VD";"2";"2021-04-18T12:06:38+0200";"2021-04-18T10:06:38Z";"";"";"US.CHVMHDEV6VD"
"FAD35E0CA24941D390B85FA311F6078E";"Stäubli CS8C (SRS TransferManager Skript)";"514B2FA42ED34D6D8A1E314941AC872A";"2021-04-18T12:06:44+0200";"2021-04-18T10:06:44Z";"\DLL\HDEV5\DLL11";"Robot_Stat030_130A740";"Check-In";"";"";"US.CHVMHDEV6VD";"2";"2021-04-18T12:06:38+0200";"2021-04-18T10:06:38Z";"";"";"US.CHVMHDEV6VD"
"E9E81B376E2448108030B278134CED9D";"Stäubli CS8C (SRS TransferManager Skript)";"A5B01901792A47FBB2444CE0AF2DDCC5";"2021-04-18T12:06:39+0200";"2021-04-18T10:06:39Z";"\DLL\HDEV5\DLL22";"Robot_Stat030_130A740";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"US.CHVMHDEV6VD";"5";"2021-04-18T12:06:34+0200";"2021-04-18T10:06:34Z";"";"";"US.CHVMHDEV6VD"
"E9E81B376E2448108030B278134CED9D";"Stäubli CS8C (SRS TransferManager Skript)";"A5B01901792A47FBB2444CE0AF2DDCC5";"2021-04-18T12:06:39+0200";"2021-04-18T10:06:39Z";"\DLL\HDEV5\DLL22";"Robot_Stat030_130A740";"Check-In";"";"";"US.CHVMHDEV6VD";"5";"2021-04-18T12:06:34+0200";"2021-04-18T10:06:34Z";"";"";"US.CHVMHDEV6VD"
"FAD35E0CA24941D390B85FA311F6078E";"Stäubli CS8C (SRS TransferManager Skript)";"06B3D027A6EF49D28D940BD96C1131DF";"2021-04-18T12:06:32+0200";"2021-04-18T10:06:32Z";"\DLL\HDEV5\DLL11";"Robot_Stat030_130A740";"Check-Out";"";"";"US.CHVMHDEV6VD";"1";"2020-10-14T20:25:36+0200";"2020-10-14T18:25:36Z";"";"";"US.CHVMHDEV6VD"
"8DEAB79CE1B44E88839855FE89AA5A32";"Stäubli CS8C (SRS TransferManager Skript)";"DC2F934DD4E14D728F1F925A9AD71042";"2021-04-18T12:06:27+0200";"2021-04-18T10:06:27Z";"\DLL\HDEV5\DLL11";"Robot_Stat010_130A740";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"US.CHVMHDEV6VD";"22";"2021-04-18T12:06:20+0200";"2021-04-18T10:06:20Z";"";"";"US.CHVMHDEV6VD"
"E9E81B376E2448108030B278134CED9D";"Stäubli CS8C (SRS TransferManager Skript)";"0240F67BC313482F86FF73FDB1F14907";"2021-04-18T12:06:27+0200";"2021-04-18T10:06:27Z";"\DLL\HDEV5\DLL22";"Robot_Stat030_130A740";"Check-Out";"";"";"US.CHVMHDEV6VD";"4";"2021-04-08T12:09:05+0200";"2021-04-08T10:09:05Z";"";"";"US.CHVMHDEV6VD"
"8DEAB79CE1B44E88839855FE89AA5A32";"Stäubli CS8C (SRS TransferManager Skript)";"DC2F934DD4E14D728F1F925A9AD71042";"2021-04-18T12:06:27+0200";"2021-04-18T10:06:27Z";"\DLL\HDEV5\DLL11";"Robot_Stat010_130A740";"Check-In";"";"";"US.CHVMHDEV6VD";"22";"2021-04-18T12:06:20+0200";"2021-04-18T10:06:20Z";"";"";"US.CHVMHDEV6VD"
"8DEAB79CE1B44E88839855FE89AA5A32";"Stäubli CS8C (SRS TransferManager Skript)";"B2DDD873D4DD4E848EBF504651A33B8A";"2021-04-18T12:06:12+0200";"2021-04-18T10:06:12Z";"\DLL\HDEV5\DLL11";"Robot_Stat010_130A740";"Check-Out";"";"";"US.CHVMHDEV6VD";"21";"2021-04-16T12:11:36+0200";"2021-04-16T10:11:36Z";"";"";"US.CHVMHDEV6VD"
"60C729F3B0894C43B90FF0A765CEC95C";"Stäubli CS8C (SRS TransferManager Skript)";"A5809E767D3A41B99D87012AED0EE5AC";"2021-04-18T12:04:26+0200";"2021-04-18T10:04:26Z";"\DLL\HDEV5\DLL22";"Robot_Stat010_130A740";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"US.CHVMHDEV6VD";"11";"2021-04-18T12:04:21+0200";"2021-04-18T10:04:21Z";"";"";"US.CHVMHDEV6VD"
"60C729F3B0894C43B90FF0A765CEC95C";"Stäubli CS8C (SRS TransferManager Skript)";"A5809E767D3A41B99D87012AED0EE5AC";"2021-04-18T12:04:26+0200";"2021-04-18T10:04:26Z";"\DLL\HDEV5\DLL22";"Robot_Stat010_130A740";"Check-In";"";"";"US.CHVMHDEV6VD";"11";"2021-04-18T12:04:21+0200";"2021-04-18T10:04:21Z";"";"";"US.CHVMHDEV6VD"
"60C729F3B0894C43B90FF0A765CEC95C";"Stäubli CS8C (SRS TransferManager Skript)";"03B1CD37364C42E18437C4A1A08883DB";"2021-04-18T12:04:14+0200";"2021-04-18T10:04:14Z";"\DLL\HDEV5\DLL22";"Robot_Stat010_130A740";"Check-Out";"";"";"US.CHVMHDEV6VD";"10";"2020-12-14T12:03:00+0100";"2020-12-14T11:03:00Z";"";"";"US.CHVMHDEV6VD"
"89CF8DB816B04B25AA47A074FE5E7C71";"SettingData";"F06EE25D9AF743A1B4C724F724C15C11";"2021-04-18T01:22:37+0200";"2021-04-17T23:22:37Z";"\HDEV6\15_Final\SL06\585\SettingData";"StationData";"Version";"VersionDog";"7F9407984441471394811224B8CD5FE7";"EMEA.BU4PTEFAPP04";"39";"2021-04-18T01:22:30+0200";"2021-04-17T23:22:30Z";"";"";"EMEA.BU4PTEFAPP04"
"89CF8DB816B04B25AA47A074FE5E7C71";"SettingData";"F06EE25D9AF743A1B4C724F724C15C11";"2021-04-18T01:22:37+0200";"2021-04-17T23:22:37Z";"\HDEV6\15_Final\SL06\585\SettingData";"StationData";"Check-In";"";"";"EMEA.BU4PTEFAPP04";"39";"2021-04-18T01:22:30+0200";"2021-04-17T23:22:30Z";"";"";"EMEA.BU4PTEFAPP04"
"89CF8DB816B04B25AA47A074FE5E7C71";"SettingData";"987E8D02FE1B4D78873DBC355DA661B5";"2021-04-18T01:22:25+0200";"2021-04-17T23:22:25Z";"\HDEV6\15_Final\SL06\585\SettingData";"StationData";"Check-Out";"";"";"EMEA.BU4PTEFAPP04";"38";"2021-04-13T01:22:29+0200";"2021-04-12T23:22:29Z";"";"";"EMEA.BU4PTEFAPP04"
